"NBI_KV";"FABRICANTE";"USO_EXTERNO";"ESCOAMENTO_MM";"FLEXAO_KN";"TRACAO";"TORCAO";"COMPRESSAO";"FLASHOVER_POSITIVO_KV";"TENSAO_APLICADA_KV";"RI_TENSAO_KV";"RI_EM_1000_KHZ_UV";"PESO_LIQUIDO_KG";"ALTURA_MM";"DIAMETRO_DA_MAIOR_SAIA";"NUMERO_DE_ISOL_NA_EMB";"PESO_BRUTO_KG";"DFURACAO";"DNUCLEO";"MATERIAL_INDEX";"COR";"ROSCA"
550.0;SANTANA;;3150.0;20.0;89.0;10.300000190734863;267.0;;;73.0;200.0;242.0;1220.0;250.0;1.0;;;100.0;;;
95.0;SANTANA;;190.0;9.0;23.0;700.0;45.0;;;;;6.25;190.0;;;;;100.0;;;
250.0;SANTANA;;914.0;9.0;36.0;1400.0;67.0;280.0;;30.0;200.0;28.0;457.0;355.0;1.0;;;100.0;;;
95.0;SANTANA;Y;267.0;8.899999618530273;31.100000381469727;0.6800000071525574;44.5;105.0;30.0;5.0;50.0;7.699999809265137;190.5;166.0;3.0;26.0;;100.0;;;
110.0;SANTANA;Y;394.0;8.899999618530273;37.79999923706055;0.7900000214576721;44.5;125.0;45.0;10.0;50.0;10.0;254.0;161.0;3.0;35.29999923706055;;100.0;;;
150.0;SANTANA;Y;610.0;8.899999618530273;44.5;0.8999999761581421;44.5;170.0;60.0;15.0;100.0;15.0;355.6000061035156;158.0;2.0;34.0;;100.0;;;
200.0;SANTANA;Y;940.0;8.899999618530273;53.400001525878906;1.1299999952316284;66.69999694824219;225.0;80.0;22.0;100.0;18.700000762939453;457.20001220703125;184.0;1.0;23.700000762939453;;100.0;;;
250.0;SANTANA;Y;1092.0;8.899999618530273;62.29999923706055;1.3600000143051147;66.69999694824219;280.0;100.0;30.0;200.0;24.399999618530273;558.7999877929688;190.0;1.0;27.399999618530273;;100.0;;;
350.0;SANTANA;Y;1829.0;6.699999809265137;71.19999694824219;1.7000000476837158;111.0;390.0;145.0;44.0;200.0;30.899999618530273;762.0;216.0;1.0;36.0;;100.0;;;
95.0;SANTANA;Y;267.0;17.799999237060547;66.69999694824219;1.3600000143051147;88.9000015258789;105.0;30.0;5.0;50.0;12.0;254.0;170.0;3.0;41.0;;100.0;;;
110.0;SANATANA;;394.0;17.799999237060547;88.9000015258789;1.5800000429153442;88.9000015258789;125.0;;10.0;50.0;15.0;305.0;180.0;1.0;;;100.0;;;
150.0;SANTANA;;610.0;17.799999237060547;88.9000015258789;1.809999942779541;88.9000015258789;170.0;60.0;15.0;100.0;19.0;381.0;176.0;1.0;43.0;;100.0;;;
250.0;SANTANA;;1092.0;17.799999237060547;111.0;2.259999990463257;267.0;280.0;;30.0;200.0;32.0;610.0;190.0;1.0;;;100.0;;;
350.0;SANTANA;;1828.0;13.300000190734863;111.0;4.519999980926514;267.0;390.0;180.0;44.0;200.0;46.0;762.0;230.0;1.0;;;100.0;;;
550.0;SANTANA;Y;2515.0;7.599999904632568;88.9000015258789;4.519999980926514;267.0;610.0;30.0;73.0;200.0;57.0;1143.0;220.0;1.0;76.0;;100.0;;;
650.0;SANTANA;Y;2515.0;6.199999809265137;88.9000015258789;4.519999980926514;267.0;610.0;230.0;88.0;200.0;65.0;1372.0;200.0;1.0;85.0;;100.0;;;
650.0;SANTANA;;2946.0;9.800000190734863;111.0;10.170000076293945;334.0;610.0;230.0;88.0;200.0;85.0;1372.0;225.0;1.0;106.0;;100.0;;;
750.0;SANTANA;Y;3353.0;5.300000190734863;88.9000015258789;4.519999980926514;267.0;810.0;315.0;103.0;500.0;70.0;1575.0;200.0;1.0;92.0;;100.0;;;
750.0;SANTANA;Y;3353.0;8.199999809265137;111.0;10.170000076293945;334.0;810.0;315.0;103.0;500.0;92.0;1575.0;215.0;1.0;115.0;;100.0;;;
900.0;SANTANA;Y;4191.0;6.449999809265137;111.0;10.170000076293945;334.0;1010.0;385.0;146.0;500.0;115.0;2032.0;210.0;1.0;145.0;;100.0;;;
1050.0;SANTANA;Y;5029.0;3.5999999046325684;88.9000015258789;4.519999980926514;267.0;1210.0;455.0;146.0;500.0;118.0;2336.0;210.0;1.0;155.0;;100.0;;;
1050.0;SANTANA;Y;5029.0;10.5;111.0;10.170000076293945;334.0;1210.0;455.0;146.0;500.0;135.0;2336.0;220.0;1.0;175.0;;100.0;;;
1300.0;SANTANA;Y;5867.0;4.449999809265137;111.0;10.170000076293945;334.0;1410.0;525.0;220.0;1000.0;150.0;2692.0;210.0;1.0;190.0;;100.0;;;
110.0;SANTANA;Y;305.0;9.0;23.0;800.0;45.0;105.0;;;;8.329999923706055;254.0;203.0;1.0;;;100.0;;;
95.0;SANTANA;;203.0;18.0;45.0;1400.0;90.0;105.0;;5.0;50.0;9.0;203.0;229.0;1.0;;;100.0;;;
110.0;SANTANA;;356.0;18.0;45.0;1600.0;90.0;125.0;;10.0;50.0;14.0;254.0;254.0;1.0;;;100.0;;;
150.0;SANTANA;;508.0;9.0;23.0;0.8999999761581421;45.0;170.0;60.0;15.0;100.0;12.0;305.0;266.0;1.0;;;100.0;;;
1550.0;SANTANA;;7112.0;7.560999870300293;88.96399688720703;4.519999980926514;266.89300537109375;1710.0;;318.0;2000.0;700.0;3251.0;242.0;1.0;;;100.0;;;
1450.0;SANTANA;;;9.0;177.89999389648438;;;;;;;;2692.0;210.0;;;;;;;
;;;;;;;;;;;;;2692.0;;;;;;;;
